species	area	Amostra	Planta	diameter	c_folha	l_folha	c_raiz	MF	MR	Mriz	Msub	Mtot	RSRatio	SSRatio	Zn	Fe	Mn	Cu	B	fe_std	zn_std	mn_std	cu_std	b_std
crassifolia	1	1	1	4.91	2.8375	0.4975	2.94	0.5850	0.1845	0.8543	1.0388	1.6238	0.315384615	1.775726496	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	2	6.76	3.08	0.4675	3.415	0.4809	0.0502	0.8653	0.9155	1.3964	0.104387607	1.903722188	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	3	5.19	3.2525	0.4175	4.0175	0.3257	0.0797	0.5371	0.6168	0.9425	0.244703715	1.89376727	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	4	7.76	3.8125	0.575	3.6475	0.9147	0.0825	1.0178	1.1003	2.0150	0.090193506	1.202908057	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	5	4.82	2.45	0.485	3.01	0.3089	0.1586	1.0899	1.2485	1.5574	0.513434769	4.041761088	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	6	5.93	3.1275	0.3975	3.515	0.3768	0.1032	0.4184	0.5216	0.8984	0.27388535	1.384288747	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	7	5.57	2.77	0.3625	3.9025	0.2005	0.0538	0.3380	0.3918	0.5923	0.268329177	1.954114713	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	8	7.12	3.705	0.4975	3.0425	0.6894	0.1997	0.4979	0.6976	1.3870	0.289672179	1.011894401	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	9	5.98	3.2525	0.5425	3.11	0.6187	0.0952	0.6262	0.7214	1.3401	0.15387102	1.165993212	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	1	10	6.7	3.095	0.51	2.9825	0.6500	0.0544	0.9244	0.9788	1.6288	0.083692308	1.505846154	0.11	49.38	0.7	0.09	0.06	0.259219629	0.405460751	1.75	0.280600462	0.788321168
crassifolia	1	2	1	6.88	3.5725	0.4675	4.06	0.5354	0.0968	0.7834	0.8802	1.4156	0.180799402	1.644004483	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	2	7.47	3.9325	0.4875	4.1025	0.7315	0.2341	0.9469	1.1810	1.9125	0.320027341	1.614490772	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	3	7.11	3.505	0.485	3.2675	0.9033	0.1752	0.6048	0.7800	1.6833	0.193955497	0.863500498	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	4	4.16	2.3875	0.465	2.43	0.2392	0.0139	0.1670	0.1809	0.4201	0.058110368	0.756270903	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	5	5.83	3.36	0.4425	3.39	0.5673	0.0622	0.4889	0.5511	1.1184	0.109642165	0.971443681	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	6	5.64	2.985	0.485	3.245	0.7512	0.1272	0.3137	0.4409	1.1921	0.169329073	0.586927583	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	7	5.26	2.7075	0.4475	3.635	0.3256	0.1995	0.7209	0.9204	1.2460	0.612714988	2.826781327	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	8	5.74	3.3375	0.5175	3.1175	0.7535	0.0868	0.3720	0.4588	1.2123	0.115195753	0.608891838	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	9	6.16	3.4825	0.52	1.8975	0.7424	0.1600	0.4214	0.5814	1.3238	0.215517241	0.783135776	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	2	10	6.77	3.41	0.5025	2.205	0.4602	0.0925	0.7862	0.8787	1.3389	0.200999565	1.909387223	0.27	73.92	0.49	0.1	0.08	0.38804202	0.995221843	1.225	0.311778291	1.051094891
crassifolia	1	3	1	6.32	3.35	0.4375	2.2125	0.6214	0.0669	0.5018	0.5687	1.1901	0.107660122	0.915191503	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	2	6.08	3.55	0.44	2.6675	0.4116	0.0263	0.2305	0.2568	0.6684	0.063896987	0.623906706	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	3	7.99	4.965	0.5225	3.95	1.0019	0.1975	0.9094	1.1069	2.1088	0.197125462	1.104800878	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
crassifolia	1	3	4	8.62	4.4375	0.575	4.59	1.4203	0.1103	0.7107	0.8210	2.2413	0.077659649	0.578046892	0.37	47.16	0.41	0.1	0.6	0.24756577	1.363822526	1.025	0.311778291	7.883211679
